Order_ID,Customer_ID,Customer_Name,Gender,Age,City,Restaurant_ID,Restaurant_Name,Cuisine,Restaurant_Rating,Delivery_Partner,Vehicle_Type,Payment_Mode,Order_Date,Order_Time,Delivery_Time_Minutes,Distance_km,Order_Value,Discount,Delivery_Fee,Final_Amount,Order_Status,Customer_Rating,Weather,Festival
1,1053,Customer_280,Male,55,Chandigarh,1,Spice Hub,North Indian,4.1,Partner_2,Bike,Credit Card,27-02-2025,04:45:00,29,8.1,251,50,35,236,Delivered,2,Cloudy,No
2,1217,Customer_175,Female,27,Mumbai,4,Biryani House,Biryani,3.8,Partner_49,Scooter,UPI,02-01-2025,05:26:00,20,6.3,1406,50,71,1427,Delivered,3,Cloudy,No
3,1283,Customer_151,Female,54,Delhi,6,Tandoori Treat,Chinese,3.8,Partner_5,Bike,Net Banking,07-04-2025,02:41:00,29,11.8,1140,150,27,1017,Cancelled,2,Sunny,No
4,1137,Customer_37,Male,52,Bengaluru,4,Biryani House,Biryani,4.6,Partner_11,Scooter,Cash,01-04-2025,07:09:00,32,14.9,947,20,43,970,Delivered,5,Sunny,No
5,1109,Customer_291,Female,31,Delhi,2,Pizza Point,Italian,4.5,Partner_26,Cycle,Cash,10-03-2025,02:15:00,24,4.7,265,50,45,260,Delivered,5,Cloudy,No
6,1071,Customer_261,Female,23,Chandigarh,5,Green Bowl,Healthy,4.6,Partner_8,Bike,Net Banking,03-04-2025,07:29:00,25,12.1,1077,150,45,972,Delivered,1,Rainy,No
7,1059,Customer_275,Female,59,Pune,4,Biryani House,Biryani,4,Partner_19,Scooter,Credit Card,03-01-2025,23:13:00,44,1,1283,50,55,1288,Delivered,3,Cloudy,Yes
8,1102,Customer_79,Female,28,Pune,1,Spice Hub,North Indian,4.3,Partner_50,Cycle,UPI,13-06-2025,17:19:00,53,5.5,1480,50,73,1503,Delivered,3,Rainy,Yes
9,1273,Customer_65,Male,60,Delhi,2,Pizza Point,Italian,4.2,Partner_36,Bike,Debit Card,05-05-2025,02:21:00,48,13.2,1361,0,25,1386,Delivered,2,Cloudy,Yes
10,1062,Customer_127,Male,22,Chandigarh,3,Burger Town,Fast Food,4,Partner_38,Cycle,Credit Card,13-05-2025,15:24:00,52,4.1,1017,50,48,1015,Delivered,1,Sunny,Yes
11,1249,Customer_110,Male,54,Delhi,3,Burger Town,Fast Food,4.4,Partner_16,Scooter,Cash,13-03-2025,22:50:00,27,2.3,345,150,35,230,Delivered,3,Rainy,No
12,1056,Customer_128,Male,30,Hyderabad,6,Tandoori Treat,Chinese,4.3,Partner_9,Scooter,Credit Card,14-04-2025,11:34:00,32,7.5,310,0,23,333,Delivered,1,Rainy,Yes
13,1209,Customer_249,Female,31,Delhi,6,Tandoori Treat,Chinese,4.8,Partner_4,Bike,Cash,02-03-2025,05:40:00,15,14.8,1307,0,25,1332,Delivered,4,Rainy,No
14,1112,Customer_30,Male,38,Chandigarh,6,Tandoori Treat,Chinese,3.6,Partner_38,Scooter,Wallet,18-02-2025,10:07:00,48,3.2,1338,100,29,1267,Cancelled,1,Sunny,Yes
15,1297,Customer_21,Male,44,Pune,1,Spice Hub,North Indian,4.5,Partner_37,Cycle,Debit Card,26-05-2025,08:24:00,31,3.9,681,100,27,608,Delivered,2,Rainy,No
16,1235,Customer_289,Male,22,Mumbai,6,Tandoori Treat,Chinese,4.3,Partner_33,Scooter,Credit Card,19-01-2025,00:19:00,37,13.3,814,100,40,754,Delivered,3,Rainy,Yes
17,1005,Customer_284,Female,60,Hyderabad,5,Green Bowl,Healthy,3.7,Partner_9,Scooter,UPI,17-06-2025,18:03:00,21,11.4,819,150,71,740,Delivered,3,Cloudy,Yes
18,1027,Customer_48,Female,35,Chandigarh,3,Burger Town,Fast Food,3.6,Partner_22,Bike,Net Banking,06-05-2025,08:34:00,31,3.3,616,50,52,618,Delivered,4,Cloudy,Yes
19,1283,Customer_76,Female,26,Delhi,1,Spice Hub,North Indian,3.6,Partner_24,Bike,Debit Card,05-04-2025,19:52:00,28,10.5,505,150,22,377,Delivered,3,Cloudy,No
20,1212,Customer_13,Male,39,Pune,6,Tandoori Treat,Chinese,4.7,Partner_27,Cycle,Net Banking,11-02-2025,06:02:00,30,4.7,516,20,75,571,Delivered,1,Rainy,Yes
21,1115,Customer_13,Male,43,Hyderabad,2,Pizza Point,Italian,4,Partner_5,Scooter,Debit Card,20-03-2025,07:46:00,56,8.1,608,100,42,550,Delivered,5,Rainy,Yes
22,1223,Customer_177,Female,45,Delhi,3,Burger Town,Fast Food,4.4,Partner_33,Bike,Cash,10-01-2025,03:42:00,51,3.7,565,150,36,451,Delivered,4,Sunny,Yes
23,1064,Customer_154,Female,60,Bengaluru,4,Biryani House,Biryani,4.1,Partner_26,Cycle,Debit Card,22-03-2025,22:38:00,50,2.8,343,50,59,352,Delivered,4,Cloudy,Yes
24,1147,Customer_108,Female,55,Pune,5,Green Bowl,Healthy,4.4,Partner_21,Scooter,Cash,01-01-2025,10:22:00,43,10.5,816,100,55,771,Delivered,2,Cloudy,Yes
25,1159,Customer_116,Male,27,Bengaluru,5,Green Bowl,Healthy,3.5,Partner_16,Scooter,Wallet,24-01-2025,08:01:00,19,7.4,1496,150,41,1387,Delivered,5,Sunny,No
26,1055,Customer_218,Male,29,Hyderabad,4,Biryani House,Biryani,4.7,Partner_45,Cycle,Cash,26-06-2025,00:11:00,18,8.8,699,20,61,740,Delivered,1,Rainy,Yes
27,1259,Customer_219,Female,28,Hyderabad,6,Tandoori Treat,Chinese,4.6,Partner_31,Scooter,Debit Card,23-03-2025,15:06:00,30,12.8,1287,150,58,1195,Delivered,5,Rainy,Yes
28,1164,Customer_277,Male,26,Bengaluru,4,Biryani House,Biryani,3.7,Partner_25,Cycle,Credit Card,11-03-2025,11:27:00,60,4,358,50,35,343,Delivered,3,Cloudy,No
29,1011,Customer_295,Female,48,Hyderabad,1,Spice Hub,North Indian,3.5,Partner_23,Scooter,Cash,30-05-2025,23:44:00,41,8.5,623,100,44,567,Delivered,5,Sunny,No
30,1208,Customer_85,Female,26,Mumbai,3,Burger Town,Fast Food,5,Partner_35,Bike,Cash,10-04-2025,11:28:00,52,8.9,1092,100,21,1013,Delivered,4,Sunny,No
31,1168,Customer_173,Female,35,Mumbai,1,Spice Hub,North Indian,4.6,Partner_27,Scooter,UPI,24-02-2025,15:31:00,45,1.3,732,100,40,672,Delivered,3,Sunny,Yes
32,1079,Customer_123,Male,48,Chandigarh,1,Spice Hub,North Indian,4.5,Partner_37,Bike,Cash,06-01-2025,21:12:00,59,4.6,263,20,32,275,Delivered,5,Cloudy,Yes
33,1193,Customer_204,Male,22,Mumbai,3,Burger Town,Fast Food,4.4,Partner_41,Bike,UPI,21-03-2025,19:39:00,59,11.8,421,150,21,292,Delivered,5,Sunny,Yes
34,1175,Customer_7,Female,49,Bengaluru,5,Green Bowl,Healthy,3.7,Partner_24,Cycle,Cash,10-05-2025,22:06:00,60,3.1,1077,50,24,1051,Delivered,5,Cloudy,No
35,1166,Customer_126,Male,35,Pune,5,Green Bowl,Healthy,4.8,Partner_16,Scooter,Wallet,01-06-2025,09:09:00,54,10.4,1190,100,47,1137,Delivered,4,Rainy,Yes
36,1142,Customer_285,Male,51,Hyderabad,2,Pizza Point,Italian,4.9,Partner_6,Bike,Net Banking,13-03-2025,20:20:00,41,7.8,926,50,41,917,Delivered,4,Cloudy,No
37,1125,Customer_157,Female,48,Hyderabad,1,Spice Hub,North Indian,4.3,Partner_23,Scooter,Net Banking,14-04-2025,23:36:00,50,5.6,390,50,34,374,Delivered,3,Rainy,No
38,1095,Customer_99,Male,48,Mumbai,1,Spice Hub,North Indian,3.9,Partner_38,Cycle,Wallet,18-05-2025,23:33:00,33,14.7,594,50,27,571,Delivered,3,Sunny,No
39,1028,Customer_284,Female,26,Mumbai,3,Burger Town,Fast Food,4.5,Partner_49,Scooter,UPI,12-03-2025,01:33:00,15,9,228,150,28,106,Delivered,4,Rainy,Yes
40,1252,Customer_38,Male,27,Delhi,3,Burger Town,Fast Food,3.7,Partner_37,Scooter,UPI,17-01-2025,13:40:00,30,2.7,1178,0,72,1250,Delivered,5,Cloudy,Yes
41,1157,Customer_292,Male,57,Pune,4,Biryani House,Biryani,4.9,Partner_7,Bike,Net Banking,31-05-2025,14:38:00,28,4.7,1122,100,39,1061,Delivered,2,Sunny,Yes
42,1150,Customer_17,Male,36,Mumbai,1,Spice Hub,North Indian,4.6,Partner_45,Scooter,UPI,02-06-2025,16:02:00,58,4.3,1036,100,64,1000,Delivered,5,Cloudy,Yes
43,1073,Customer_37,Male,28,Hyderabad,1,Spice Hub,North Indian,4.7,Partner_39,Cycle,Wallet,08-02-2025,09:04:00,33,7.1,1315,20,61,1356,Delivered,3,Cloudy,No
44,1021,Customer_222,Female,56,Bengaluru,5,Green Bowl,Healthy,3.9,Partner_6,Bike,Net Banking,21-01-2025,20:24:00,51,9.2,1305,100,48,1253,Delivered,3,Cloudy,Yes
45,1300,Customer_224,Female,23,Mumbai,4,Biryani House,Biryani,4.2,Partner_27,Scooter,Debit Card,13-03-2025,06:11:00,57,2.5,1262,100,78,1240,Delivered,4,Cloudy,No
46,1162,Customer_130,Female,25,Bengaluru,6,Tandoori Treat,Chinese,5,Partner_26,Cycle,UPI,27-04-2025,03:00:00,57,13.2,1020,150,22,892,Delivered,1,Sunny,No
47,1137,Customer_282,Male,36,Pune,4,Biryani House,Biryani,4.2,Partner_45,Scooter,UPI,14-01-2025,06:56:00,16,14.6,1480,100,68,1448,Delivered,2,Cloudy,Yes
48,1059,Customer_237,Male,59,Bengaluru,5,Green Bowl,Healthy,4.7,Partner_32,Cycle,Debit Card,24-01-2025,07:40:00,47,10.9,228,150,46,124,Delivered,4,Rainy,Yes
49,1070,Customer_36,Female,44,Hyderabad,5,Green Bowl,Healthy,4,Partner_33,Scooter,UPI,03-06-2025,17:20:00,33,11.2,496,100,32,428,Delivered,5,Cloudy,No
50,1279,Customer_194,Female,38,Mumbai,4,Biryani House,Biryani,4.8,Partner_45,Bike,Wallet,27-03-2025,18:50:00,39,4.3,1303,100,42,1245,Delivered,1,Rainy,No
51,1258,Customer_170,Male,46,Chandigarh,4,Biryani House,Biryani,3.6,Partner_30,Bike,Net Banking,10-01-2025,04:18:00,24,6.7,990,20,51,1021,Delivered,2,Sunny,No
52,1274,Customer_195,Female,58,Bengaluru,3,Burger Town,Fast Food,4.6,Partner_49,Scooter,Wallet,21-01-2025,11:12:00,17,9.6,1476,100,61,1437,Delivered,3,Sunny,Yes
